adminCode	date	cases	epiWeek	year	population	evi_0avg	temperature_0avg	precip_0avg	adminName	region	geozone
NG001	2012-01-02	0	1	2012	3369002	0.417677626044524	28.8751884321558	1.85932251359525	Abia	south	South East
NG002	2012-01-02	0	1	2012	3917456.75	0.275017743616026	34.731180191942	0.0277440817932767	Adamawa	north	North East
NG003	2012-01-02	0	1	2012	4666465	0.378158839705251	27.673561562462	3.34319052392858	Akwa Ibom	south	South South
NG004	2012-01-02	0	1	2012	4827833	0.300964014564156	29.7892847241483	0.641876014166605	Anambra	south	South East
NG005	2012-01-02	0	1	2012	5548042.5	0.242472738377898	34.0166078379993	0.0120922934074067	Bauchi	north	North East
NG006	2012-01-02	0	1	2012	1964008.625	0.340808050419897	26.9868038948195	4.00275365738085	Bayelsa	south	South South
NG007	2012-01-02	0	1	2012	5016567	0.331702652110178	31.2454383264901	0.242208682832179	Benue	north	North Central
NG008	2012-01-02	0	1	2012	5062091.5	0.21475653901076	35.963021208354	0.00316077083216025	Borno	north	North East
NG009	2012-01-02	0	1	2012	3210480.25	0.415518330871233	27.7534507703902	1.90376856000002	Cross River	south	South South
NG010	2012-01-02	0	1	2012	4855004.5	0.351638420220342	28.3722562971605	1.72447793824265	Delta	south	South South
NG011	2012-01-02	4	1	2012	2604509	0.351676912449048	30.4923790070948	0.639881975119067	Ebonyi	south	South East
NG012	2012-01-02	8	1	2012	3899594.75	0.427220716555332	29.5994715202778	0.752572589499248	Edo	south	South South
NG013	2012-01-02	0	1	2012	2902741.25	0.432701222348079	28.7736978134413	0.486239018095248	Ekiti	south	South West
NG014	2012-01-02	0	1	2012	3787212	0.36163113706326	29.9108452865119	0.456839804692675	Enugu	south	South East
NG015	2012-01-02	0	1	2012	2376226.75	0.339592190656094	32.489654626	0.102420625806816	Federal Capital Territory	north	North Central
NG016	2012-01-02	0	1	2012	2674475.75	0.248774076942789	35.008216333112	0.010333379596356	Gombe	north	North East
NG017	2012-01-02	0	1	2012	4700829.5	0.403786814451359	29.1025705286888	1.20805550083326	Imo	south	South East
NG018	2012-01-02	0	1	2012	4893070	0.228845258903759	33.5384220933973	0.00155011461296014	Jigawa	north	North West
NG019	2012-01-02	0	1	2012	7308888	0.280941784877395	32.7450495648408	0.0277874828797542	Kaduna	north	North West
NG020	2012-01-02	0	1	2012	11311272	0.229667105150661	32.9610286685876	0.00301772196273424	Kano	north	North West
NG021	2012-01-02	0	1	2012	6854461.5	0.222351643775259	33.3759155062686	0.00165662867544047	Katsina	north	North West
NG022	2012-01-02	0	1	2012	3752805	0.240854470633246	34.6992794325241	0.00284697746939246	Kebbi	north	North West
NG023	2012-01-02	0	1	2012	3740277.25	0.344088621362972	30.2703994916955	0.20824272337841	Kogi	north	North Central
NG024	2012-01-02	0	1	2012	2737655.75	0.318453868541538	32.2099773553079	0.131638996550084	Kwara	north	North Central
NG025	2012-01-02	1	1	2012	10389548	0.345226161812211	28.3073880529764	1.35034054857152	Lagos	south	South West
NG026	2012-01-02	1	1	2012	2204974	0.322153967824966	33.045231268358	0.113063236279069	Nasarawa	north	North Central
NG027	2012-01-02	0	1	2012	4816331	0.295949817091506	33.8390452648285	0.0253936393772388	Niger	north	North Central
NG028	2012-01-02	0	1	2012	5007208	0.424289148124494	29.5416671561668	1.04599069377241	Ogun	south	South West
NG029	2012-01-02	0	1	2012	4147945.5	0.43816728501781	28.8144722640066	0.883374765000004	Ondo	south	South West
NG030	2012-01-02	0	1	2012	3955975.75	0.45336093921369	28.5514730385451	0.846970119880897	Osun	south	South West
NG031	2012-01-02	0	1	2012	6664915	0.36405418886235	31.1464827585912	0.405386169793354	Oyo	south	South West
NG032	2012-01-02	1	1	2012	3731470.25	0.271501531536714	33.8254091435165	0.0363341953372231	Plateau	north	North Central
NG033	2012-01-02	0	1	2012	6341356.5	0.316247569223941	27.706291128284	3.27517298535716	Rivers	south	South South
NG034	2012-01-02	0	1	2012	4482692.5	0.204700057724643	34.6537014538248	0.000444942488538875	Sokoto	north	North West
NG035	2012-01-02	0	1	2012	2592772.75	0.326956624919721	31.3376184960005	0.147452399125933	Taraba	north	North East
NG036	2012-01-02	2	1	2012	2820712.5	0.199658449641562	35.1449720678299	0.00106807224007188	Yobe	north	North East
NG037	2012-01-02	0	1	2012	3840363.5	0.244847483376308	34.1415546371815	0.00190497765297294	Zamfara	north	North West
NG001	2012-01-09	0	2	2012	3369002	0.399658319665188	28.8393721426722	1.45352095369052	Abia	south	South East
NG002	2012-01-09	0	2	2012	3917456.75	0.259831133131495	34.610766856197	0.00818302988851477	Adamawa	north	North East
NG003	2012-01-09	0	2	2012	4666465	0.368545712294302	27.5817993873945	2.62933785535716	Akwa Ibom	south	South South
NG004	2012-01-09	0	2	2012	4827833	0.296023730689385	29.7797516849256	0.476385909047557	Anambra	south	South East
NG005	2012-01-09	0	2	2012	5548042.5	0.231026307715349	33.5746345175298	0.00618962333272668	Bauchi	north	North East
NG006	2012-01-09	0	2	2012	1964008.625	0.332797345705213	26.7448432289178	3.16578328690466	Bayelsa	south	South South
NG007	2012-01-09	0	2	2012	5016567	0.314185297126364	31.4086033061185	0.153794104260751	Benue	north	North Central
NG008	2012-01-09	0	2	2012	5062091.5	0.205817124783318	35.2510831606508	0.00110835936986838	Borno	north	North East
NG009	2012-01-09	0	2	2012	3210480.25	0.404803276828931	27.7083562921091	1.39668025107144	Cross River	south	South South
NG010	2012-01-09	0	2	2012	4855004.5	0.341508903046098	28.3693613001129	1.3216651172901	Delta	south	South South
NG011	2012-01-09	0	2	2012	2604509	0.338136661777239	30.5528787228215	0.470755952261924	Ebonyi	south	South East
NG012	2012-01-09	0	2	2012	3899594.75	0.412626338103561	29.6062867672311	0.564824443546867	Edo	south	South South
NG013	2012-01-09	0	2	2012	2902741.25	0.415773106832849	28.8010566632815	0.3509693654762	Ekiti	south	South West
NG014	2012-01-09	0	2	2012	3787212	0.344427180835868	29.9415369656733	0.324945011597437	Enugu	south	South East
NG015	2012-01-09	0	2	2012	2376226.75	0.317815660584862	32.7427627061207	0.0264652261639585	Federal Capital Territory	north	North Central
NG016	2012-01-09	0	2	2012	2674475.75	0.236220665765609	34.6372878461221	0.00358083393814097	Gombe	north	North East
NG017	2012-01-09	0	2	2012	4700829.5	0.389661425862115	29.0059923450619	0.92306316559516	Imo	south	South East
NG018	2012-01-09	0	2	2012	4893070	0.220257222931842	32.8763979921024	0.000950800565341092	Jigawa	north	North West
NG019	2012-01-09	0	2	2012	7308888	0.264909199665038	32.6804456534718	0.00661272597499232	Kaduna	north	North West
NG020	2012-01-09	0	2	2012	11311272	0.217927696430578	32.3682746800475	0.00165527791511519	Kano	north	North West
NG021	2012-01-09	0	2	2012	6854461.5	0.211834847106041	32.7061245819827	0.000396630431865112	Katsina	north	North West
NG022	2012-01-09	0	2	2012	3752805	0.229375847821406	34.2805264274295	0.00122814975678838	Kebbi	north	North West
NG023	2012-01-09	0	2	2012	3740277.25	0.329769142880407	30.4031004218584	0.14896600837841	Kogi	north	North Central
NG024	2012-01-09	0	2	2012	2737655.75	0.301056012044235	32.2712113541558	0.0900299459548455	Kwara	north	North Central
NG025	2012-01-09	0	2	2012	10389548	0.3351960491491	28.2760984936319	0.968465336428664	Lagos	south	South West
NG026	2012-01-09	0	2	2012	2204974	0.303202785326221	33.3020419670386	0.0432692908028782	Nasarawa	north	North Central
NG027	2012-01-09	0	2	2012	4816331	0.278257575503643	33.866869820657	0.0103903572169329	Niger	north	North Central
NG028	2012-01-09	0	2	2012	5007208	0.407937272081874	29.6524434532672	0.706684064486695	Ogun	south	South West
NG029	2012-01-09	0	2	2012	4147945.5	0.425181316082909	28.8090668907892	0.624709475119051	Ondo	south	South West
NG030	2012-01-09	0	2	2012	3955975.75	0.435777313930367	28.5383584775695	0.528166176547563	Osun	south	South West
NG031	2012-01-09	0	2	2012	6664915	0.344117696054448	31.2792619690878	0.2590452872619	Oyo	south	South West
NG032	2012-01-09	0	2	2012	3731470.25	0.257267104356004	33.7506436303412	0.0142975200991279	Plateau	north	North Central
NG033	2012-01-09	0	2	2012	6341356.5	0.304470359042246	27.5933826742321	2.63260010273811	Rivers	south	South South
NG034	2012-01-09	0	2	2012	4482692.5	0.197359140617003	33.842986224147	0.000102735090404479	Sokoto	north	North West
NG035	2012-01-09	0	2	2012	2592772.75	0.309882798377899	31.4321500129982	0.068316541459828	Taraba	north	North East
NG036	2012-01-09	0	2	2012	2820712.5	0.19279292801686	34.248259775535	0.000333906287690923	Yobe	north	North East
NG037	2012-01-09	0	2	2012	3840363.5	0.231717739969263	33.7490173732007	0.000598486970705489	Zamfara	north	North West
NG001	2012-01-16	0	3	2012	3369002	0.380919084652706	28.8939968728631	1.00920785785718	Abia	south	South East
NG002	2012-01-16	0	3	2012	3917456.75	0.245896838740917	34.4096799814229	0.00320500690201787	Adamawa	north	North East
NG003	2012-01-16	0	3	2012	4666465	0.358186435926218	27.5386821493107	1.83319938714287	Akwa Ibom	south	South South
NG004	2012-01-16	0	3	2012	4827833	0.289680350046785	29.8321854351224	0.321986845357081	Anambra	south	South East
NG005	2012-01-16	0	3	2012	5548042.5	0.220774614319184	33.1264425439615	0.00295540202320287	Bauchi	north	North East
NG006	2012-01-16	0	3	2012	1964008.625	0.324676677823949	26.5698003003359	2.26636225416656	Bayelsa	south	South South
NG007	2012-01-16	0	3	2012	5016567	0.296410230957638	31.6414935923511	0.116962488189322	Benue	north	North Central
NG008	2012-01-16	0	3	2012	5062091.5	0.198135803826506	34.6565745642692	8.54584174874299e-05	Borno	north	North East
NG009	2012-01-16	0	3	2012	3210480.25	0.393151962619761	27.7983440072643	0.923547933928587	Cross River	south	South South
NG010	2012-01-16	0	3	2012	4855004.5	0.330395904056584	28.374786589668	0.964365800028191	Delta	south	South South
NG011	2012-01-16	0	3	2012	2604509	0.323393734616354	30.7099565812492	0.309028634166686	Ebonyi	south	South East
NG012	2012-01-16	8	3	2012	3899594.75	0.396352070158382	29.6835708976375	0.42119593774538	Edo	south	South South
NG013	2012-01-16	0	3	2012	2902741.25	0.397994211802154	28.878561875528	0.259058636309534	Ekiti	south	South West
NG014	2012-01-16	0	3	2012	3787212	0.327180266642672	30.101319025275	0.225276105049818	Enugu	south	South East
